code,category,number,title,units,desc
ECON 333-0,ECON,333-0,Economics of Social Policy,1,"ECON 333-0 Economics of Social Policy (1 Unit) 
Prerequisites: Econ 281-0, Econ 310-1, Econ 310-2. SOC_POL 330-0 and ECON 333-0 are taught together; may not receive credit for both. SESP students must register for SOC_POL 330-0."
ECON 335-0,ECON,335-0,Political Economics,1,"ECON 335-0 Political Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 336-0,ECON,336-0,Analytic Methods for Public Policy Analysis,1,"ECON 336-0 Analytic Methods for Public Policy Analysis (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 337-0,ECON,337-0,Economics of State and Local Governments,1,"ECON 337-0 Economics of State and Local Governments (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 339-0,ECON,339-0,Labor Economics,1,"ECON 339-0 Labor Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2, ECON 311-0."
ECON 340-0,ECON,340-0,Economics of the Family,1,"ECON 340-0 Economics of the Family (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 341-0,ECON,341-0,Economics of Education,1,"ECON 341-0 Economics of Education (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 342-0,ECON,342-0,Economics of Gender,1,"ECON 342-0 Economics of Gender (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 343-0,ECON,343-0,Economics of Immigration,1,"ECON 343-0 Economics of Immigration (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2, ECON 311-0."
ECON 349-0,ECON,349-0,Industrial Economics,1,"ECON 349-0 Industrial Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 350-0,ECON,350-0,Monopoly Competition & Public Policy,1,"ECON 350-0 Monopoly Competition & Public Policy (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 351-0,ECON,351-0,Law and Economics,1,"ECON 351-0 Law and Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 354-0,ECON,354-0,Issues in Urban and Regional Economics,1,"ECON 354-0 Issues in Urban and Regional Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 355-0,ECON,355-0,Transportation Economics and Public Policy,1,"ECON 355-0 Transportation Economics and Public Policy (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 358-0,ECON,358-0,Economics of Art and Culture,1,"ECON 358-0 Economics of Art and Culture (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 359-0,ECON,359-0,Economics of Nonprofit Organizations,1,"ECON 359-0 Economics of Nonprofit Organizations (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 360-1,ECON,360-1,Foundations of Corporate Finance Theory,1,"ECON 360-1 Foundations of Corporate Finance Theory (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 311-0. (May not receive credit for both this course and BUS_INST 304-0. Not for students who have previously taken KELLG_FE 310-0.)."
ECON 360-2,ECON,360-2,Investments,1,"ECON 360-2 Investments (1 Unit) 
Prerequisite: ECON 360-1 or equivalent."
ECON 361-0,ECON,361-0,International Trade,1,"ECON 361-0 International Trade (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2, ECON 311-0."
ECON 362-0,ECON,362-0,International Finance,1,"ECON 362-0 International Finance (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 311-0."
ECON 371-0,ECON,371-0,Economics of Energy,1,"ECON 371-0 Economics of Energy (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 372-0,ECON,372-0,Environmental Economics,1,"ECON 372-0 Environmental Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 373-0,ECON,373-0,Natural Resource Economics,1,"ECON 373-0 Natural Resource Economics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 380-1,ECON,380-1,Game Theory,1,"ECON 380-1 Game Theory (1 Unit) 
Prerequisites: ECON 310-1, ECON 310-2, MATH 220-2, MATH 230-1."
ECON 380-2,ECON,380-2,Game Theory,1,"ECON 380-2 Game Theory (1 Unit) 
Prerequisite: ECON 380-1 or consent of instructor."
ECON 381-1,ECON,381-1,Econometrics,1,"ECON 381-1 Econometrics (1 Unit) 
Prerequisites: ECON 310-1, (ECON 310-2, ECON 311-0 recommended), MATH 226-0, MATH 230-1, MATH 230-2, MATH 240-0 and MATH 314-0 (or equivalent)."
ECON 381-2,ECON,381-2,Econometrics,1,"ECON 381-2 Econometrics (1 Unit) 
Prerequisite: ECON 381-1, (ECON 310-2, ECON 311-0 recommended)."
ECON 383-0,ECON,383-0,Applied Econometrics,1,"ECON 383-0 Applied Econometrics (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1."
ECON 398-1,ECON,398-1,Senior Seminar,1,"For students of superior ability. Original research on a topic of interest to the student, culminating in a senior thesis. By department invitation only. Grade of K given in 398-1. 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2, ECON 311-0, MATH 220-2, MATH 230-1; at least four 300-level economics electives.
 Advanced Expression"
ECON 398-2,ECON,398-2,Senior Seminar,1,"For students of superior ability. Original research on a topic of interest to the student, culminating in a senior thesis. By department invitation only. 
Prerequisite: ECON 398-1.
 Advanced Expression"
ECON 399-0,ECON,399-0,Independent Study,1,"Advanced work through reading, research, and discussion to build on economics coursework taken by the student. Project to be decided by mutual agreement with a faculty member."
